Data_Included_Slug,Participant,Session,Scenario,Annotation_Type,Accuracy,Accuracy_Balanced,Precision_Blue,Precision_Green,Precision_Red,Precision_Yellow,Recall_Blue,Recall_Green,Recall_Red,Recall_Yellow,F1score_Blue,F1score_Green,F1score_Red,F1score_Yellow
session_03_02_va_early_fusion,,Session_03_02,va_early_fusion,parents,0.698,0.5421,0.6632,0.7494,1.0,0.6364,0.5753,0.8078,0.125,0.6604,0.6161,0.7775,0.2222,0.6481
participant_01_va_late_fusion,Participant_01,,va_late_fusion,parents,0.6944,0.4075,0.6221,0.745,0.0,0.8333,0.7683,0.7984,0.0,0.06329,0.6875,0.7708,0.0,0.1176
all_data_va_late_fusion,All data,,va_late_fusion,parents,0.6114,0.3496,0.679,0.5993,0.9,0.76,0.3782,0.953,0.02848,0.03854,0.4858,0.7359,0.05521,0.07336
participant_02_va_late_fusion,Participant_02,,va_late_fusion,parents,0.6015,0.4121,0.7823,0.5734,0.7143,0.7108,0.3808,0.9766,0.1351,0.1557,0.5122,0.7226,0.2273,0.2554
session_01_01_a,,Session_01_01,a,parents,0.5437,0.25,0.0,0.5437,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7044,0.0,0.0
session_02_01_v,,Session_02_01,v,parents,0.705,0.619,0.7937,0.7265,0.5192,0.6482,0.7194,0.9046,0.3253,0.5265,0.7547,0.8058,0.4,0.5811
participant_03_va_late_fusion,Participant_03,,va_late_fusion,parents,0.682,0.5532,0.7527,0.6543,0.8919,0.6875,0.6278,0.9472,0.569,0.06897,0.6846,0.7739,0.6947,0.1254
participant_02_v,Participant_02,,v,parents,0.6459,0.5071,0.6846,0.6578,0.4605,0.5839,0.6325,0.9113,0.2365,0.248,0.6575,0.7641,0.3125,0.3481
participant_04_va_late_fusion,Participant_04,,va_late_fusion,parents,0.6341,0.2522,0.5,0.634,0.0,1.0,0.004065,1.0,0.0,0.004785,0.008065,0.776,0.0,0.009524
session_03_02_a,,Session_03_02,a,parents,0.4499,0.25,0.0,0.4499,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6206,0.0,0.0
session_04_01_v,,Session_04_01,v,parents,0.7145,0.4463,0.6549,0.7454,0.2727,0.5789,0.5034,0.8998,0.1071,0.275,0.5692,0.8153,0.1538,0.3729
participant_01_va_early_fusion,Participant_01,,va_early_fusion,parents,0.6997,0.4359,0.6189,0.7635,1.0,0.6875,0.8095,0.7694,0.02564,0.1392,0.7015,0.7664,0.05,0.2316
session_01_01_va_early_fusion,,Session_01_01,va_early_fusion,parents,0.6997,0.4359,0.6189,0.7635,1.0,0.6875,0.8095,0.7694,0.02564,0.1392,0.7015,0.7664,0.05,0.2316
participant_04_va_early_fusion,Participant_04,,va_early_fusion,parents,0.632,0.2548,0.0,0.6343,0.3333,0.3333,0.0,0.9956,0.01408,0.009569,0.0,0.7749,0.02703,0.0186
