Data_Included_Slug,Participant,Session,Scenario,Annotation_Type,Accuracy,Accuracy_Balanced,Precision_Blue,Precision_Green,Precision_Red,Precision_Yellow,Recall_Blue,Recall_Green,Recall_Red,Recall_Yellow,F1score_Blue,F1score_Green,F1score_Red,F1score_Yellow
session_03_02_va_early_fusion,,Session_03_02,va_early_fusion,parents,0.703,0.5978,0.6902,0.7288,0.5,0.663,0.5799,0.8607,0.375,0.5755,0.6303,0.7893,0.4286,0.6162
participant_01_va_late_fusion,Participant_01,,va_late_fusion,parents,0.7134,0.4562,0.7115,0.7126,0.625,0.8,0.5714,0.9225,0.1282,0.2025,0.6338,0.8041,0.2128,0.3232
all_data_va_late_fusion,All data,,va_late_fusion,parents,0.6508,0.4432,0.7255,0.6368,0.6512,0.7,0.4018,0.9559,0.2658,0.1491,0.5172,0.7644,0.3775,0.2458
participant_02_va_late_fusion,Participant_02,,va_late_fusion,parents,0.6478,0.5171,0.7423,0.6421,0.5816,0.6168,0.4768,0.9347,0.3851,0.2718,0.5806,0.7613,0.4634,0.3773
session_01_01_a,,Session_01_01,a,parents,0.5543,0.279,0.4041,0.5926,0.0,0.0,0.2476,0.8682,0.0,0.0,0.3071,0.7044,0.0,0.0
session_02_01_v,,Session_02_01,v,parents,0.6799,0.5822,0.7154,0.7223,0.5263,0.6009,0.6691,0.8719,0.241,0.5469,0.6914,0.7901,0.3306,0.5726
participant_03_va_late_fusion,Participant_03,,va_late_fusion,parents,0.7267,0.6059,0.7715,0.71,0.8611,0.708,0.6435,0.9414,0.5345,0.3041,0.7017,0.8095,0.6596,0.4254
participant_02_v,Participant_02,,v,parents,0.6642,0.552,0.6692,0.7021,0.5093,0.5703,0.5762,0.8855,0.3716,0.3747,0.6192,0.7832,0.4297,0.4522
participant_04_va_late_fusion,Participant_04,,va_late_fusion,parents,0.6816,0.3642,0.8125,0.6798,0.7,0.6267,0.1585,0.9746,0.09859,0.2249,0.2653,0.8009,0.1728,0.331
session_03_02_a,,Session_03_02,a,parents,0.4461,0.2542,0.0,0.4507,0.0,0.3514,0.0,0.9554,0.0,0.06132,0.0,0.6125,0.0,0.1044
session_04_01_v,,Session_04_01,v,parents,0.7415,0.538,0.6607,0.77,0.5625,0.68,0.5034,0.902,0.3214,0.425,0.5714,0.8308,0.4091,0.5231
participant_01_va_early_fusion,Participant_01,,va_early_fusion,parents,0.7187,0.5162,0.7049,0.74,0.5,0.6047,0.6444,0.8605,0.2308,0.3291,0.6733,0.7957,0.3158,0.4262
session_01_01_va_early_fusion,,Session_01_01,va_early_fusion,parents,0.7165,0.5093,0.7049,0.7383,0.5,0.5778,0.6444,0.8585,0.2051,0.3291,0.6733,0.7939,0.2909,0.4194
participant_04_va_early_fusion,Participant_04,,va_early_fusion,parents,0.6788,0.3948,0.5856,0.7035,0.4762,0.5208,0.2642,0.9349,0.1408,0.2392,0.3641,0.8028,0.2174,0.3279
participant_04_v,Participant_04,,v,parents,0.6997,0.4366,0.6241,0.7259,0.5,0.5714,0.3374,0.9238,0.1408,0.3445,0.438,0.813,0.2198,0.4299
session_02_01_va_early_fusion,,Session_02_01,va_early_fusion,parents,0.6811,0.576,0.75,0.7287,0.4595,0.595,0.6475,0.8638,0.2048,0.5878,0.695,0.7905,0.2833,0.5914
participant_03_a,Participant_03,,a,parents,0.5086,0.2505,0.0,0.5096,0.0,0.25,0.0,0.9988,0.0,0.003135,0.0,0.6749,0.0,0.006192
all_data_va_early_fusion,All data,,va_early_fusion,parents,0.6615,0.481,0.6506,0.6742,0.6115,0.5837,0.4836,0.9025,0.269,0.2688,0.5548,0.7719,0.3736,0.3681
session_04_02_va_early_fusion,,Session_04_02,va_early_fusion,parents,0.6978,0.4514,0.6383,0.7399,0.36,0.5517,0.303,0.9212,0.2093,0.3721,0.411,0.8207,0.2647,0.4444
session_04_02_a,,Session_04_02,a,parents,0.6305,0.2583,1.0,0.6295,1.0,0.0,0.0101,1.0,0.02326,0.0,0.02,0.7726,0.04545,0.0
session_03_01_v,,Session_03_01,v,parents,0.8235,0.7308,0.7706,0.8712,0.8293,0.6744,0.7841,0.917,0.68,0.5421,0.7773,0.8935,0.7473,0.601
participant_01_a,Participant_01,,a,parents,0.5543,0.279,0.4041,0.5926,0.0,0.0,0.2476,0.8682,0.0,0.0,0.3071,0.7044,0.0,0.0
session_02_02_a,,Session_02_02,a,parents,0.6025,0.4271,0.4,0.6105,0.6508,0.3871,0.02454,0.9642,0.6308,0.08889,0.04624,0.7476,0.6406,0.1446
