Data_Included_Slug,Participant,Session,Scenario,Annotation_Type,Accuracy,Accuracy_Balanced,Precision_Blue,Precision_Green,Precision_Red,Precision_Yellow,Recall_Blue,Recall_Green,Recall_Red,Recall_Yellow,F1score_Blue,F1score_Green,F1score_Red,F1score_Yellow
participant_01_a,Participant_01,,a,parents,0.4046,0.3982,0.4275,0.7339,0.06623,0.2123,0.5238,0.3314,0.2564,0.481,0.4708,0.4566,0.1053,0.2946
session_02_02_va_early_fusion,,Session_02_02,va_early_fusion,parents,0.7212,0.741,0.6597,0.8798,0.5784,0.5068,0.773,0.7236,0.9077,0.5597,0.7119,0.7941,0.7066,0.5319
session_04_02_a,,Session_04_02,a,parents,0.3022,0.2995,0.2078,0.7405,0.06452,0.2129,0.1616,0.2998,0.3256,0.4109,0.1818,0.4268,0.1077,0.2804
session_03_01_v,,Session_03_01,v,parents,0.82,0.8421,0.7895,0.946,0.8036,0.5476,0.793,0.8158,0.9,0.8598,0.7912,0.8761,0.8491,0.6691
all_data_va_late_fusion,All data,,va_late_fusion,parents,0.6151,0.6239,0.5841,0.8563,0.2978,0.4195,0.6448,0.6119,0.6709,0.568,0.6129,0.7138,0.4125,0.4826
participant_04_va_early_fusion,Participant_04,,va_early_fusion,parents,0.6327,0.6286,0.4313,0.894,0.2994,0.4625,0.6504,0.6424,0.662,0.5598,0.5186,0.7476,0.4123,0.5065
session_04_01_va_early_fusion,,Session_04_01,va_early_fusion,parents,0.6804,0.6758,0.5161,0.925,0.3036,0.4865,0.7619,0.6592,0.6071,0.675,0.6154,0.7698,0.4048,0.5654
session_01_01_va_late_fusion,,Session_01_01,va_late_fusion,parents,0.7323,0.7104,0.7077,0.8753,0.3944,0.4554,0.7302,0.7481,0.7179,0.6456,0.7188,0.8067,0.5091,0.534
participant_01_va_early_fusion,Participant_01,,va_early_fusion,parents,0.7134,0.6794,0.7022,0.8533,0.3472,0.4348,0.7111,0.7326,0.641,0.6329,0.7066,0.7883,0.4505,0.5155
session_02_02_a,,Session_02_02,a,parents,0.5062,0.5736,0.3631,0.7752,0.5234,0.2936,0.7485,0.4474,0.8615,0.237,0.489,0.5674,0.6512,0.2623
session_02_01_va_late_fusion,,Session_02_01,va_late_fusion,parents,0.6942,0.6755,0.7134,0.8257,0.381,0.6468,0.8058,0.7875,0.5783,0.5306,0.7568,0.8061,0.4593,0.583
participant_04_v,Participant_04,,v,parents,0.6585,0.651,0.462,0.8942,0.3358,0.4926,0.6667,0.6623,0.6338,0.6411,0.5458,0.7609,0.439,0.5572
session_02_02_va_late_fusion,,Session_02_02,va_late_fusion,parents,0.7125,0.7377,0.6702,0.8946,0.5364,0.4774,0.7853,0.7056,0.9077,0.5522,0.7232,0.7889,0.6743,0.5121
participant_03_a,Participant_03,,a,parents,0.3107,0.3607,0.3047,0.5821,0.06918,0.2809,0.278,0.32,0.5593,0.2853,0.2907,0.413,0.1231,0.283
session_03_01_va_early_fusion,,Session_03_01,va_early_fusion,parents,0.795,0.8273,0.72,0.948,0.7759,0.5422,0.793,0.7753,0.9,0.8411,0.7547,0.853,0.8333,0.6593
session_01_01_a,,Session_01_01,a,parents,0.4046,0.3978,0.4271,0.7319,0.06623,0.2123,0.5206,0.3333,0.2564,0.481,0.4692,0.4581,0.1053,0.2946
session_04_01_va_late_fusion,,Session_04_01,va_late_fusion,parents,0.6946,0.7011,0.533,0.8983,0.3509,0.5189,0.7143,0.6882,0.7143,0.6875,0.6105,0.7793,0.4706,0.5914
session_03_02_va_late_fusion,,Session_03_02,va_late_fusion,parents,0.7356,0.7335,0.692,0.8364,0.5,0.6466,0.7078,0.7688,0.75,0.7075,0.6998,0.8012,0.6,0.6757
session_02_01_v,,Session_02_01,v,parents,0.6978,0.679,0.7019,0.8192,0.4103,0.6485,0.8129,0.7902,0.5783,0.5347,0.7533,0.8044,0.48,0.5861
session_03_01_va_late_fusion,,Session_03_01,va_late_fusion,parents,0.8246,0.8415,0.786,0.9532,0.8462,0.5471,0.793,0.8239,0.88,0.8692,0.7895,0.8838,0.8627,0.6715
all_data_v,All data,,v,parents,0.6135,0.6242,0.5823,0.8516,0.2941,0.4248,0.6348,0.6116,0.6804,0.57,0.6075,0.7119,0.4107,0.4868
session_04_02_va_late_fusion,,Session_04_02,va_late_fusion,parents,0.6909,0.678,0.4924,0.8684,0.3902,0.5672,0.6566,0.7221,0.7442,0.5891,0.5628,0.7885,0.512,0.5779
session_03_02_a,,Session_03_02,a,parents,0.2406,0.3882,0.306,0.5238,0.02727,0.2898,0.3242,0.09192,0.75,0.3868,0.3149,0.1564,0.05263,0.3313
session_04_01_v,,Session_04_01,v,parents,0.7017,0.7056,0.5495,0.9038,0.3704,0.5048,0.7551,0.6904,0.7143,0.6625,0.6361,0.7828,0.4878,0.573
all_data_va_early_fusion,All data,,va_early_fusion,parents,0.6088,0.6084,0.5749,0.8436,0.2746,0.4243,0.6417,0.6132,0.6361,0.5426,0.6065,0.7102,0.3836,0.4762
participant_02_v,Participant_02,,v,parents,0.6508,0.6345,0.6133,0.8329,0.3684,0.5349,0.6722,0.718,0.6622,0.4855,0.6414,0.7712,0.4734,0.509
session_01_01_v,,Session_01_01,v,parents,0.7018,0.6808,0.6677,0.8542,0.3684,0.4299,0.7079,0.7151,0.7179,0.5823,0.6872,0.7785,0.487,0.4946
session_02_01_a,,Session_02_01,a,parents,0.2518,0.3477,0.3086,0.5244,0.1203,0.3481,0.5396,0.1172,0.5422,0.1918,0.3927,0.1915,0.1969,0.2474
session_01_01_va_early_fusion,,Session_01_01,va_early_fusion,parents,0.7144,0.6799,0.7044,0.8536,0.3521,0.431,0.7111,0.7345,0.641,0.6329,0.7077,0.7896,0.4545,0.5128
participant_04_va_late_fusion,Participant_04,,va_late_fusion,parents,0.676,0.6577,0.4825,0.8916,0.3462,0.5135,0.6707,0.6898,0.6338,0.6364,0.5612,0.7778,0.4478,0.5684
all_data_a,All data,,a,parents,0.3067,0.3499,0.2713,0.6804,0.1375,0.2221,0.5363,0.2033,0.347,0.3131,0.3603,0.3131,0.197,0.2599
participant_03_va_late_fusion,Participant_03,,va_late_fusion,parents,0.7422,0.7722,0.7054,0.8787,0.631,0.5547,0.7354,0.7562,0.9138,0.6834,0.7201,0.8129,0.7465,0.6124
session_03_02_v,,Session_03_02,v,parents,0.7318,0.7296,0.6892,0.8369,0.5,0.6352,0.6986,0.7716,0.75,0.6981,0.6939,0.8029,0.6,0.6652
session_04_01_a,,Session_04_01,a,parents,0.2401,0.3179,0.25,0.8681,0.04641,0.1648,0.3401,0.1759,0.3929,0.3625,0.2882,0.2926,0.08302,0.2266
participant_02_a,Participant_02,,a,parents,0.3139,0.3968,0.2537,0.6654,0.239,0.2486,0.745,0.2076,0.5135,0.1211,0.3785,0.3165,0.3262,0.1628
participant_02_va_late_fusion,Participant_02,,va_late_fusion,parents,0.6685,0.6565,0.6474,0.8368,0.4008,0.5375,0.7053,0.7389,0.7095,0.4723,0.6751,0.7848,0.5122,0.5028
