Data_Included_Slug,Participant,Session,Scenario,Annotation_Type,Accuracy,Accuracy_Balanced,Precision_Blue,Precision_Green,Precision_Red,Precision_Yellow,Recall_Blue,Recall_Green,Recall_Red,Recall_Yellow,F1score_Blue,F1score_Green,F1score_Red,F1score_Yellow
session_03_02_va_early_fusion,,Session_03_02,va_early_fusion,parents,0.6416,0.5152,0.5969,0.6811,0.6667,0.5879,0.5205,0.8329,0.25,0.4575,0.5561,0.7494,0.3636,0.5146
participant_01_va_late_fusion,Participant_01,,va_late_fusion,parents,0.6839,0.4012,0.6888,0.6826,0.3333,0.7333,0.527,0.9128,0.02564,0.1392,0.5971,0.7811,0.04762,0.234
all_data_va_late_fusion,All data,,va_late_fusion,parents,0.5416,0.2499,0.0,0.5417,0.0,0.0,0.0,0.9997,0.0,0.0,0.0,0.7026,0.0,0.0
participant_02_va_late_fusion,Participant_02,,va_late_fusion,parents,0.6283,0.448,0.7278,0.614,0.6129,0.6319,0.4338,0.9581,0.1284,0.2718,0.5436,0.7484,0.2123,0.3801
session_01_01_a,,Session_01_01,a,parents,0.568,0.288,0.4286,0.6059,0.0,0.0,0.2762,0.876,0.0,0.0,0.3359,0.7163,0.0,0.0
session_02_01_v,,Session_02_01,v,parents,0.6739,0.5778,0.7218,0.7169,0.5,0.5872,0.6906,0.8692,0.2289,0.5224,0.7059,0.7857,0.314,0.5529
participant_03_va_late_fusion,Participant_03,,va_late_fusion,parents,0.6116,0.4242,0.6645,0.5979,0.7273,0.5625,0.4619,0.9308,0.2759,0.02821,0.545,0.7281,0.4,0.05373
participant_02_v,Participant_02,,v,parents,0.652,0.5267,0.6429,0.6937,0.466,0.5588,0.5364,0.8953,0.3243,0.3509,0.5848,0.7817,0.3825,0.4311
participant_04_va_late_fusion,Participant_04,,va_late_fusion,parents,0.6466,0.2953,0.7097,0.6526,0.3333,0.4583,0.08943,0.9724,0.01408,0.1053,0.1588,0.781,0.02703,0.1712
session_03_02_a,,Session_03_02,a,parents,0.4311,0.2574,0.0,0.4443,0.0,0.3458,0.0,0.8552,0.0,0.1745,0.0,0.5848,0.0,0.232
session_04_01_v,,Session_04_01,v,parents,0.6378,0.25,0.0,0.6378,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7788,0.0,0.0
participant_01_va_early_fusion,Participant_01,,va_early_fusion,parents,0.7113,0.4908,0.6901,0.7361,0.5833,0.5349,0.6222,0.8702,0.1795,0.2911,0.6544,0.7975,0.2745,0.377
session_01_01_va_early_fusion,,Session_01_01,va_early_fusion,parents,0.7081,0.489,0.6842,0.734,0.6364,0.5227,0.619,0.8663,0.1795,0.2911,0.65,0.7947,0.28,0.374
participant_04_va_early_fusion,Participant_04,,va_early_fusion,parents,0.6732,0.3884,0.6117,0.6976,0.4138,0.4819,0.2561,0.9371,0.169,0.1914,0.361,0.7998,0.24,0.274
