@relation AU_intensity_openFACE_mean_stddev

@attribute frametime numeric
@attribute AU01_r_mean numeric
@attribute AU02_r_mean numeric
@attribute AU04_r_mean numeric
@attribute AU05_r_mean numeric
@attribute AU06_r_mean numeric
@attribute AU07_r_mean numeric
@attribute AU09_r_mean numeric
@attribute AU10_r_mean numeric
@attribute AU12_r_mean numeric
@attribute AU14_r_mean numeric
@attribute AU15_r_mean numeric
@attribute AU17_r_mean numeric
@attribute AU20_r_mean numeric
@attribute AU23_r_mean numeric
@attribute AU25_r_mean numeric
@attribute AU26_r_mean numeric
@attribute AU45_r_mean numeric
@attribute AU01_r_std numeric
@attribute AU02_r_std numeric
@attribute AU04_r_std numeric
@attribute AU05_r_std numeric
@attribute AU06_r_std numeric
@attribute AU07_r_std numeric
@attribute AU09_r_std numeric
@attribute AU10_r_std numeric
@attribute AU12_r_std numeric
@attribute AU14_r_std numeric
@attribute AU15_r_std numeric
@attribute AU17_r_std numeric
@attribute AU20_r_std numeric
@attribute AU23_r_std numeric
@attribute AU25_r_std numeric
@attribute AU26_r_std numeric
@attribute AU45_r_std numeric


@data

0,0.10699,0,0.025586,0.017015,1.6269,1.1688,0.34401,1.1969,1.0471,2.0047,0.056552,0.91671,0.054097,0.086084,0.48947,0.36827,0.019066,0.20005,0,0.11657,0.087279,0.5283,0.54301,0.31621,0.41313,0.64237,0.35901,0.14949,0.57717,0.11262,0.38203,0.78689,0.22132,0.07936
0.4,0.069754,0,0.029648,0.019715,1.7723,1.2874,0.39672,1.2833,1.2055,2.0984,0.040809,0.87104,0.062684,0.099748,0.53462,0.36926,0.022093,0.18462,0,0.12513,0.093766,0.40849,0.47359,0.30889,0.3736,0.54111,0.28882,0.15247,0.60335,0.11909,0.41,0.83146,0.21288,0.085122
0.8,0.0025395,0,0.035241,0.023435,1.8912,1.36,0.4693,1.3793,1.3525,2.1427,0.040155,0.74896,0.074512,0.11857,0.61726,0.30255,0.026261,0.011433,0,0.1359,0.10195,0.32214,0.47977,0.28254,0.31706,0.44681,0.2785,0.16391,0.57446,0.12654,0.44515,0.88307,0.15062,0.092345
1.2,0,0,0.043437,0.028885,1.9639,1.4077,0.55417,1.4234,1.4557,2.1785,0.049493,0.65354,0.09184,0.14614,0.75753,0.3055,0.032368,0,0,0.15,0.11273,0.31279,0.52002,0.24185,0.33058,0.43409,0.28706,0.18108,0.58228,0.13489,0.49113,0.92663,0.14982,0.10176
1.6,0,0,0.0566,0.037638,2.0157,1.4732,0.61232,1.487,1.5672,2.2289,0.064491,0.61503,0.11967,0.18768,0.97066,0.31393,0.042177,0,0,0.1696,0.12782,0.33945,0.57607,0.24072,0.34367,0.43803,0.30839,0.20503,0.65853,0.14299,0.5558,0.96186,0.1668,0.11474
2,0.061961,0,0.12505,0.10501,1.9871,1.4419,0.56415,1.5556,1.5786,2.0406,0.20569,0.57431,0.25181,0.4569,1.2693,0.33819,0.10008,0.22384,0,0.23544,0.19297,0.45724,0.72806,0.35109,0.3807,0.586,0.61554,0.50227,0.8342,0.40289,0.90168,0.825,0.16483,0.16112
2.4,0.062398,0,0.14757,0.11514,2.0137,1.3352,0.34061,1.7377,1.6904,1.7487,0.22165,0.44995,0.16164,0.60122,1.5199,0.20388,0.40576,0.22372,0,0.23288,0.19122,0.45703,0.69183,0.41822,0.29045,0.57284,0.46617,0.49639,0.86991,0.41618,0.8478,0.58668,0.16914,0.37822
2.8,0.062398,0,0.22446,0.11296,1.9352,1.0817,0.027032,1.7582,1.5387,1.6086,0.22833,0.41007,0.11279,0.69796,1.2554,0.075106,0.7743,0.22372,0,0.21377,0.19194,0.40574,0.48947,0.084757,0.28638,0.4884,0.42595,0.49344,0.87678,0.41615,0.78705,0.39725,0.11545,0.34997
3.2,0.051639,0,0.38146,0.074387,2.0315,1.0348,0.051473,1.84,1.6453,1.7225,0.14248,0.27944,0.10137,0.66952,1.0347,0.049234,0.66985,0.2006,0,0.36225,0.1393,0.31504,0.43311,0.1524,0.32935,0.41269,0.45287,0.41942,0.53995,0.37247,0.63294,0.59422,0.10503,0.40734
