,frametime,GoldStandardValence,GoldStandardArousal
0,0.0,-0.0089727,-0.020076
1,0.04,-0.0089727,-0.020076
2,0.08,-0.0089727,-0.020076
3,0.12,-0.0089727,-0.020076
4,0.16,-0.0089727,-0.020076
5,0.2,-0.0089727,-0.020076
6,0.24,-0.0089727,-0.020076
7,0.28,-0.0089727,-0.020076
8,0.32,-0.0089727,-0.020076
9,0.36,-0.0089727,-0.020076
10,0.4,-0.0089727,-0.020076
11,0.44,-0.0089727,-0.020076
12,0.48,-0.0089727,-0.020076
13,0.52,-0.0089727,-0.020076
14,0.56,-0.0089727,-0.020076
15,0.6,-0.0089727,-0.020076
16,0.64,-0.0089727,-0.020076
17,0.68,-0.0089727,-0.020076
18,0.72,-0.0089727,-0.020076
19,0.76,-0.0089727,-0.018409
20,0.8,-0.0089727,-0.016742
21,0.84,-0.0089727,-0.016742
22,0.88,-0.0089727,-0.016742
23,0.92,-0.0089727,-0.016742
24,0.96,-0.0089727,-0.016742
25,1.0,0.014361,-0.016742
26,1.04,-0.002306,-0.016742
27,1.08,-0.0089727,-0.016742
28,1.12,-0.0089727,-0.016742
29,1.16,-0.010639,-0.016742
30,1.2,-0.012306,-0.016742
31,1.24,-0.012306,-0.016742
32,1.28,-0.012306,-0.016742
33,1.32,-0.012306,-0.015076
34,1.36,-0.015639,-0.015076
35,1.4,-0.015639,-0.015076
36,1.44,-0.015639,-0.015076
37,1.48,-0.015639,-0.015076
38,1.52,-0.017306,-0.013409
39,1.56,-0.020639,-0.013409
40,1.6,-0.030639,-0.013409
41,1.64,-0.032306,-0.013409
42,1.68,-0.032306,-0.013409
43,1.72,-0.032306,-0.013409
44,1.76,-0.032306,-0.010076
45,1.8,-0.032306,-0.0067423
46,1.84,-0.032306,-0.0067423
47,1.88,-0.032306,-0.0050757
48,1.92,-0.032306,-0.0050757
49,1.96,-0.032306,-0.0050757
50,2.0,-0.027306,-0.003409
51,2.04,-0.025639,-7.5656e-05
52,2.08,-0.023973,0.0032577
53,2.12,-0.023973,0.006591
54,2.16,-0.020639,0.006591
55,2.2,-0.017306,0.0082577
56,2.24,-0.013973,0.0082577
57,2.28,-0.010639,0.0099243
58,2.32,-0.007306,0.0099243
59,2.36,-0.0056393,0.0099243
60,2.4,-0.0056393,0.0099243
61,2.44,-0.0056393,0.0099243
62,2.48,-0.0039727,0.0082577
63,2.52,-0.002306,0.006591
64,2.56,-0.00063933,0.0032577
65,2.6,0.0010273,-7.5656e-05
66,2.64,0.0010273,-0.0067423
67,2.68,0.0010273,-0.011742
68,2.72,-0.00063933,-0.016742
69,2.76,-0.00063933,-0.021742
70,2.8,-0.002306,-0.031742
71,2.84,-0.0039727,-0.041742
72,2.88,-0.0039727,-0.051742
73,2.92,-0.0056393,-0.060076
74,2.96,-0.007306,-0.063409
75,3.0,-0.007306,-0.070076
76,3.04,-0.007306,-0.078409
77,3.08,-0.007306,-0.083409
78,3.12,-0.007306,-0.090076
79,3.16,-0.007306,-0.093409
80,3.2,-0.0039727,-0.096742
81,3.24,-0.0039727,-0.10008
82,3.28,-0.002306,-0.10341
83,3.32,-0.002306,-0.10674
