frametime,GoldStandardValence,GoldStandardArousal
0.0,0.011746,-0.014869
0.04,0.011746,-0.014869
0.08,0.011746,-0.014869
0.12,0.011746,-0.014869
0.16,0.011746,-0.014869
0.2,0.011746,-0.014869
0.24,0.011746,-0.014869
0.28,0.011746,-0.014869
0.32,0.011746,-0.014869
0.36,0.011746,-0.014869
0.4,0.011746,-0.014869
0.44,0.011746,-0.014869
0.48,0.011746,-0.014869
0.52,0.011746,-0.014869
0.56,0.011746,-0.014869
0.6,0.011746,-0.014869
0.64,0.011746,-0.014869
0.68,0.011746,-0.014869
0.72,0.011746,-0.014869
0.76,0.011746,-0.014869
0.8,0.011746,-0.014869
0.84,0.011746,-0.014869
0.88,0.011746,-0.014869
0.92,0.011746,-0.014869
0.96,0.011746,-0.014869
1.0,0.011746,-0.014869
1.04,0.011746,-0.013202
1.08,0.011746,-0.0098691
1.12,0.011746,-0.0098691
1.16,0.011746,-0.0082024
1.2,0.011746,-0.0082024
1.24,0.011746,-0.0065358
1.28,0.015079,0.00013089
1.32,0.015079,0.0034642
1.36,0.015079,0.0084642
1.4,0.013413,0.013464
1.44,0.015079,0.016798
1.48,0.015079,0.021798
1.52,0.018413,0.026798
1.56,0.021746,0.028464
1.6,0.028413,0.030131
1.64,0.033413,0.033464
1.68,0.041746,0.035131
1.72,0.046746,0.035131
1.76,0.053413,0.035131
1.8,0.058413,0.038464
1.84,0.060079,0.036798
1.88,0.071746,0.035131
1.92,0.086746,0.035131
1.96,0.096746,0.033464
2.0,0.10175,0.035131
2.04,0.10341,0.033464
2.08,0.10841,0.033464
2.12,0.11008,0.031798
2.16,0.11341,0.028464
2.2,0.12175,0.026798
2.24,0.13175,0.025131
2.28,0.12175,0.015131
2.32,0.12675,0.016798
2.36,0.13008,0.021798
2.4,0.13175,0.021798
2.44,0.13341,0.025131
2.48,0.13675,0.033464
2.52,0.14175,0.045131
2.56,0.14675,0.053464
2.6,0.15008,0.055131
2.64,0.15341,0.055131
2.68,0.15675,0.056798
2.72,0.15841,0.066798
2.76,0.16175,0.076798
2.8,0.16341,0.083464
2.84,0.16841,0.088464
2.88,0.16841,0.091798
2.92,0.17341,0.095131
2.96,0.17675,0.096798
3.0,0.17841,0.1018
3.04,0.18008,0.10013
3.08,0.18175,0.1018
3.12,0.18675,0.1018
3.16,0.19341,0.10346
3.2,0.19508,0.1068
3.24,0.19675,0.11013
3.28,0.19841,0.12013
3.32,0.20008,0.12513
3.36,0.20008,0.1268
3.4,0.20008,0.13013
3.44,0.20008,0.13513
3.48,0.20175,0.13846
3.52,0.20341,0.1418
3.56,0.20508,0.14346
3.6,0.20675,0.1468
3.64,0.20675,0.14846
3.68,0.20675,0.15846
3.72,0.20675,0.1618
3.76,0.20841,0.16346
3.8,0.20841,0.1668
3.84,0.21008,0.1718
3.88,0.21175,0.17346
3.92,0.21341,0.18013
3.96,0.21341,0.18346
4.0,0.21841,0.18513
4.04,0.22008,0.18513
4.08,0.22175,0.18846
4.12,0.22175,0.1918
4.16,0.22175,0.1918
4.2,0.22175,0.1918
4.24,0.22175,0.1918
4.28,0.22175,0.1918
4.32,0.22341,0.19013
4.36,0.22341,0.1918
4.4,0.22841,0.19013
4.44,0.22841,0.1818
4.48,0.23008,0.17346
4.52,0.23008,0.16846
4.56,0.23008,0.16013
4.6,0.23508,0.15013
4.64,0.23508,0.13846
4.68,0.23508,0.13846
4.72,0.24675,0.13846
4.76,0.25508,0.13346
4.8,0.25675,0.1218
4.84,0.26175,0.1018
4.88,0.26175,0.098464
4.92,0.26175,0.10013
4.96,0.26175,0.098464
5.0,0.26175,0.093464
5.04,0.26341,0.093464
5.08,0.26508,0.085131
5.12,0.26841,0.080131
5.16,0.26841,0.080131
5.2,0.26841,0.081798
5.24,0.26841,0.090131
5.28,0.27008,0.096798
5.32,0.27008,0.11013
5.36,0.27175,0.11346
5.4,0.27175,0.1168
5.44,0.27008,0.1168
5.48,0.26508,0.12013
5.52,0.26508,0.12346
5.56,0.26341,0.13013
5.6,0.26175,0.1368
5.64,0.26341,0.14013
5.68,0.26175,0.1418
5.72,0.26341,0.14346
5.76,0.26175,0.1468
5.8,0.26175,0.15346
5.84,0.26675,0.15846
5.88,0.27508,0.1618
5.92,0.28175,0.1718
5.96,0.28341,0.1818
6.0,0.28341,0.18513
6.04,0.28341,0.19513
6.08,0.28675,0.19513
6.12,0.28675,0.19513
6.16,0.28841,0.19513
6.2,0.29008,0.19513
6.24,0.29008,0.19013
6.28,0.29008,0.1718
6.32,0.28841,0.16513
6.36,0.28508,0.16013
6.4,0.28175,0.15846
6.44,0.28008,0.1568
6.48,0.27175,0.15513
6.52,0.26341,0.15013
6.56,0.26008,0.1468
6.6,0.25675,0.1418
6.64,0.25341,0.13846
6.68,0.25175,0.13346
6.72,0.25341,0.13013
6.76,0.25508,0.12013
6.8,0.26341,0.11513
6.84,0.27175,0.11346
6.88,0.27508,0.10846
6.92,0.28008,0.10846
6.96,0.28008,0.11013
7.0,0.28175,0.10846
7.04,0.28175,0.1068
7.08,0.28175,0.1068
7.12,0.28008,0.1068
7.16,0.28008,0.10513
7.2,0.27841,0.10513
7.24,0.27675,0.10513
7.28,0.27675,0.10513
7.32,0.27675,0.1068
7.36,0.27508,0.11013
7.4,0.27008,0.1118
7.44,0.26675,0.11346
7.48,0.27008,0.1168
7.52,0.26841,0.1118
7.56,0.26675,0.10846
7.6,0.27008,0.1068
7.64,0.26841,0.10013
7.68,0.26841,0.1018
7.72,0.27008,0.10513
7.76,0.27008,0.10846
7.8,0.27175,0.1118
7.84,0.27175,0.11513
7.88,0.27508,0.1168
7.92,0.28008,0.11846
7.96,0.28341,0.12013
8.0,0.28508,0.1218
8.04,0.29175,0.12513
8.08,0.30508,0.13513
8.12,0.32508,0.14513
8.16,0.33675,0.14846
8.2,0.35675,0.15346
8.24,0.37341,0.15846
8.28,0.39341,0.16013
8.32,0.41508,0.16346
8.36,0.43841,0.16513
8.4,0.46675,0.1768
8.44,0.48341,0.19513
8.48,0.49675,0.2068
8.52,0.50675,0.21846
8.56,0.52008,0.22513
8.6,0.53508,0.23013
8.64,0.54675,0.2318
8.68,0.56341,0.23846
8.72,0.57008,0.24013
8.76,0.58508,0.2418
8.8,0.59508,0.24346
8.84,0.60175,0.24846
8.88,0.60675,0.25346
8.92,0.61675,0.2618
8.96,0.62675,0.27013
9.0,0.63508,0.27513
9.04,0.64175,0.27513
9.08,0.64175,0.27513
9.12,0.64341,0.27846
9.16,0.64675,0.28846
9.2,0.65008,0.29513
9.24,0.65008,0.30013
9.28,0.65175,0.3018
9.32,0.65508,0.3018
9.36,0.65675,0.30346
9.4,0.65841,0.30846
9.44,0.65841,0.31346
9.48,0.65841,0.3168
9.52,0.65841,0.32013
9.56,0.65675,0.32513
9.6,0.65841,0.33346
9.64,0.65841,0.33513
9.68,0.65841,0.3368
9.72,0.66008,0.3368
9.76,0.66008,0.34013
9.8,0.66341,0.33846
9.84,0.66175,0.33846
9.88,0.66008,0.33846
9.92,0.65841,0.34013
9.96,0.65841,0.3418
10.0,0.658413,0.340131
10.04,0.656746,0.336798
10.08,0.655079,0.331798
10.12,0.650079,0.331798
10.16,0.645079,0.331798
10.2,0.640079,0.330131
10.24,0.633413,0.330131
10.28,0.628413,0.331798
10.32,0.626746,0.331798
10.36,0.621746,0.331798
10.4,0.620079,0.328464
10.44,0.616746,0.325131
10.48,0.611746,0.320131
10.52,0.606746,0.311798
10.56,0.603413,0.306798
10.6,0.603413,0.298464
10.64,0.601746,0.286798
10.68,0.601746,0.276798
10.72,0.595079,0.273464
10.76,0.586746,0.268464
10.8,0.581746,0.263464
10.84,0.576746,0.258464
10.88,0.571746,0.253464
10.92,0.571746,0.238464
10.96,0.568413,0.230131
11.0,0.570079,0.228464
11.04,0.566746,0.226798
11.08,0.563413,0.221798
11.12,0.558413,0.216798
11.16,0.556746,0.198464
11.2,0.555079,0.185131
11.24,0.553413,0.176798
11.28,0.551746,0.171798
11.32,0.550079,0.170131
11.36,0.541746,0.166798
11.4,0.528413,0.161798
11.44,0.516746,0.158464
11.48,0.510079,0.158464
11.52,0.510079,0.156798
11.56,0.508413,0.156798
11.6,0.506746,0.155131
11.64,0.506746,0.153464
11.68,0.505079,0.155131
11.72,0.501746,0.156798
11.76,0.500079,0.158464
11.8,0.500079,0.158464
11.84,0.498413,0.160131
11.88,0.495079,0.161798
11.92,0.495079,0.161798
11.96,0.495079,0.163464
12.0,0.495079,0.166798
12.04,0.496746,0.173464
12.08,0.500079,0.173464
12.12,0.500079,0.173464
12.16,0.501746,0.173464
12.2,0.500079,0.166798
12.24,0.498413,0.161798
12.28,0.500079,0.158464
12.32,0.500079,0.155131
12.36,0.498413,0.153464
12.4,0.500079,0.151798
12.44,0.496746,0.148464
12.48,0.495079,0.138464
12.52,0.493413,0.136798
12.56,0.495079,0.136798
12.6,0.491746,0.136798
12.64,0.500079,0.133464
12.68,0.501746,0.133464
12.72,0.498413,0.131798
12.76,0.496746,0.131798
12.8,0.496746,0.130131
12.84,0.495079,0.128464
12.88,0.495079,0.126798
12.92,0.493413,0.123464
12.96,0.493413,0.123464
13.0,0.493413,0.123464
13.04,0.491746,0.123464
13.08,0.491746,0.123464
13.12,0.498413,0.126798
13.16,0.505079,0.130131
13.2,0.506746,0.135131
13.24,0.508413,0.140131
13.28,0.508413,0.143464
13.32,0.506746,0.148464
13.36,0.506746,0.153464
13.4,0.503413,0.155131
13.44,0.498413,0.158464
13.48,0.493413,0.165131
13.52,0.490079,0.168464
13.56,0.486746,0.171798
13.6,0.483413,0.170131
13.64,0.481746,0.170131
13.68,0.478413,0.168464
13.72,0.476746,0.168464
13.76,0.476746,0.171798
13.8,0.476746,0.176798
13.84,0.476746,0.180131
13.88,0.475079,0.180131
13.92,0.473413,0.180131
13.96,0.471746,0.186798
14.0,0.471746,0.190131
14.04,0.470079,0.188464
14.08,0.466746,0.190131
14.12,0.460079,0.190131
14.16,0.451746,0.193464
14.2,0.445079,0.193464
14.24,0.443413,0.193464
14.28,0.441746,0.195131
14.32,0.441746,0.193464
14.36,0.441746,0.193464
14.4,0.440079,0.193464
14.44,0.440079,0.193464
14.48,0.438413,0.193464
14.52,0.436746,0.191798
14.56,0.436746,0.183464
14.6,0.431746,0.175131
14.64,0.426746,0.171798
14.68,0.418413,0.170131
14.72,0.408413,0.168464
14.76,0.406746,0.165131
14.8,0.406746,0.161798
14.84,0.406746,0.158464
14.88,0.405079,0.155131
14.92,0.401746,0.151798
14.96,0.398413,0.151798
15.0,0.391746,0.150131
15.04,0.385079,0.145131
15.08,0.375079,0.145131
15.12,0.361746,0.145131
15.16,0.350079,0.143464
15.2,0.345079,0.143464
15.24,0.338413,0.143464
15.28,0.331746,0.141798
15.32,0.328413,0.141798
15.36,0.323413,0.141798
15.4,0.320079,0.141798
15.44,0.318413,0.141798
15.48,0.316746,0.145131
15.52,0.313413,0.151798
15.56,0.308413,0.155131
15.6,0.303413,0.156798
15.64,0.303413,0.161798
15.68,0.303413,0.166798
15.72,0.303413,0.168464
15.76,0.300079,0.170131
15.8,0.298413,0.171798
15.84,0.298413,0.175131
15.88,0.296746,0.180131
15.92,0.295079,0.185131
15.96,0.295079,0.190131
16.0,0.295079,0.191798
16.04,0.305079,0.193464
16.08,0.320079,0.193464
16.12,0.323413,0.195131
16.16,0.325079,0.196798
16.2,0.326746,0.196798
16.24,0.325079,0.195131
16.28,0.328413,0.196798
16.32,0.330079,0.196798
16.36,0.326746,0.195131
16.4,0.325079,0.195131
16.44,0.325079,0.193464
16.48,0.323413,0.190131
16.52,0.326746,0.188464
16.56,0.328413,0.188464
16.6,0.331746,0.185131
16.64,0.331746,0.178464
16.68,0.333413,0.176798
16.72,0.333413,0.175131
16.76,0.333413,0.171798
16.8,0.330079,0.170131
16.84,0.325079,0.166798
16.88,0.321746,0.166798
16.92,0.318413,0.163464
16.96,0.318413,0.161798
17.0,0.318413,0.160131
17.04,0.318413,0.158464
17.08,0.316746,0.155131
17.12,0.315079,0.153464
17.16,0.315079,0.148464
17.2,0.313413,0.143464
17.24,0.310079,0.143464
17.28,0.300079,0.143464
17.32,0.293413,0.141798
17.36,0.288413,0.136798
17.4,0.285079,0.133464
17.44,0.280079,0.131798
17.48,0.281746,0.131798
