@relation GOLDSTANDARD_VALENCE

@attribute frametime numeric
@attribute GoldStandardValence numeric


@data

0,-0.025661
0.04,-0.025661
0.08,-0.025661
0.12,-0.025661
0.16,-0.025661
0.2,-0.025661
0.24,-0.025661
0.28,-0.025661
0.32,-0.025661
0.36,-0.025661
0.4,-0.025661
0.44,-0.025661
0.48,-0.025661
0.52,-0.025661
0.56,-0.025661
0.6,-0.025661
0.64,-0.025661
0.68,-0.025661
0.72,-0.025661
0.76,-0.025661
0.8,-0.025661
0.84,-0.025661
0.88,-0.025661
0.92,-0.025661
0.96,-0.025661
1,-0.025661
1.04,-0.025661
1.08,-0.025661
1.12,-0.025661
1.16,-0.025661
1.2,-0.025661
1.24,-0.025661
1.28,-0.025661
1.32,-0.025661
1.36,-0.025661
1.4,-0.025661
1.44,-0.025661
1.48,-0.023994
1.52,-0.023994
1.56,-0.023994
1.6,-0.020661
1.64,-0.020661
1.68,-0.018994
1.72,-0.018994
1.76,-0.017328
1.8,-0.013994
1.84,-0.010661
1.88,-0.0073278
1.92,-0.0023278
1.96,-0.00066111
2,0.0043389
2.04,0.0060056
2.08,0.0076722
2.12,0.011006
2.16,0.016006
2.2,0.017672
2.24,0.021006
2.28,0.021006
2.32,0.021006
2.36,0.021006
2.4,0.021006
2.44,0.024339
2.48,0.027672
2.52,0.029339
2.56,0.032672
2.6,0.036006
2.64,0.039339
2.68,0.041006
2.72,0.046006
2.76,0.047672
2.8,0.049339
2.84,0.049339
2.88,0.054339
2.92,0.062672
2.96,0.072672
3,0.076006
3.04,0.081006
3.08,0.087672
3.12,0.092672
3.16,0.096006
3.2,0.10267
3.24,0.10601
3.28,0.11101
3.32,0.11267
3.36,0.11601
3.4,0.11934
3.44,0.12267
3.48,0.12434
3.52,0.12434
3.56,0.12601
3.6,0.12601
3.64,0.12601
3.68,0.12601
3.72,0.12434
3.76,0.12434
3.8,0.12434
3.84,0.12101
3.88,0.11934
3.92,0.11434
3.96,0.10767
4,0.097672
4.04,0.097672
4.08,0.097672
4.12,0.097672
4.16,0.10101
4.2,0.10267
4.24,0.099339
4.28,0.091006
4.32,0.089339
4.36,0.089339
4.4,0.089339
4.44,0.087672
4.48,0.087672
4.52,0.086006
4.56,0.084339
4.6,0.082672
4.64,0.082672
4.68,0.084339
4.72,0.087672
4.76,0.086006
4.8,0.086006
4.84,0.086006
4.88,0.086006
4.92,0.087672
4.96,0.087672
5,0.089339
5.04,0.092672
5.08,0.097672
5.12,0.099339
5.16,0.099339
5.2,0.096006
5.24,0.092672
5.28,0.092672
5.32,0.094339
5.36,0.092672
5.4,0.091006
5.44,0.089339
5.48,0.087672
5.52,0.084339
5.56,0.084339
5.6,0.084339
5.64,0.086006
5.68,0.086006
5.72,0.086006
5.76,0.086006
5.8,0.086006
5.84,0.086006
5.88,0.087672
5.92,0.087672
5.96,0.087672
6,0.089339
6.04,0.087672
6.08,0.087672
6.12,0.089339
6.16,0.091006
6.2,0.092672
6.24,0.092672
6.28,0.092672
6.32,0.094339
6.36,0.094339
6.4,0.092672
6.44,0.091006
6.48,0.091006
6.52,0.091006
6.56,0.091006
6.6,0.092672
6.64,0.091006
6.68,0.091006
6.72,0.091006
6.76,0.091006
6.8,0.089339
6.84,0.091006
6.88,0.089339
6.92,0.091006
6.96,0.089339
7,0.089339
7.04,0.089339
7.08,0.087672
7.12,0.087672
7.16,0.089339
7.2,0.087672
7.24,0.089339
7.28,0.091006
7.32,0.092672
7.36,0.092672
7.4,0.092672
7.44,0.094339
7.48,0.094339
7.52,0.092672
7.56,0.092672
7.6,0.092672
7.64,0.092672
7.68,0.092672
7.72,0.094339
7.76,0.097672
7.8,0.096006
7.84,0.096006
7.88,0.096006
7.92,0.094339
7.96,0.092672
8,0.089339
8.04,0.087672
8.08,0.086006
8.12,0.084339
8.16,0.082672
8.2,0.082672
8.24,0.079339
8.28,0.079339
8.32,0.079339
8.36,0.079339
8.4,0.079339
8.44,0.079339
8.48,0.079339
8.52,0.079339
8.56,0.079339
8.6,0.079339
8.64,0.079339
8.68,0.079339
8.72,0.079339
8.76,0.077672
8.8,0.077672
8.84,0.077672
8.88,0.076006
8.92,0.072672
8.96,0.071006
9,0.069339
9.04,0.069339
9.08,0.069339
9.12,0.067672
9.16,0.067672
9.2,0.067672
9.24,0.066006
9.28,0.067672
9.32,0.067672
9.36,0.067672
9.4,0.067672
9.44,0.067672
9.48,0.066006
9.52,0.064339
9.56,0.064339
9.6,0.062672
9.64,0.062672
9.68,0.062672
9.72,0.062672
9.76,0.061006
9.8,0.061006
9.84,0.061006
9.88,0.061006
9.92,0.059339
9.96,0.059339
10,0.0593389
10.04,0.0576722
10.08,0.0576722
10.12,0.0576722
10.16,0.0576722
10.2,0.0576722
10.24,0.0576722
10.28,0.0576722
10.32,0.0560056
10.36,0.0543389
10.4,0.0510056
10.44,0.0510056
10.48,0.0510056
10.52,0.0510056
10.56,0.0493389
10.6,0.0476722
10.64,0.0476722
10.68,0.0460056
10.72,0.0460056
10.76,0.0460056
10.8,0.0443389
10.84,0.0443389
10.88,0.0426722
10.92,0.0410056
10.96,0.0376722
11,0.0326722
11.04,0.0326722
11.08,0.0276722
11.12,0.0260056
11.16,0.0260056
11.2,0.0243389
11.24,0.0243389
11.28,0.0226722
11.32,0.0226722
11.36,0.0226722
11.4,0.0193389
11.44,0.0193389
11.48,0.0193389
11.52,0.0176722
11.56,0.0176722
11.6,0.0193389
11.64,0.0193389
11.68,0.0193389
11.72,0.0193389
11.76,0.0193389
11.8,0.0193389
11.84,0.0160056
11.88,0.0143389
11.92,0.0160056
11.96,0.0143389
12,0.0176722
12.04,0.0176722
12.08,0.0176722
12.12,0.0176722
12.16,0.0176722
12.2,0.0176722
12.24,0.0210056
12.28,0.0226722
12.32,0.0226722
12.36,0.0226722
12.4,0.0226722
12.44,0.0226722
12.48,0.0226722
12.52,0.0226722
12.56,0.0226722
12.6,0.0260056
12.64,0.0293389
12.68,0.0326722
12.72,0.0343389
12.76,0.0360056
12.8,0.0376722
12.84,0.0393389
12.88,0.0393389
12.92,0.0376722
12.96,0.0360056
13,0.0343389
13.04,0.0326722
13.08,0.0293389
13.12,0.0276722
13.16,0.0276722
13.2,0.0276722
13.24,0.0276722
13.28,0.0293389
13.32,0.0293389
13.36,0.0293389
13.4,0.0310056
13.44,0.0376722
13.48,0.0410056
13.52,0.0443389
13.56,0.0476722
13.6,0.0510056
13.64,0.0510056
13.68,0.0493389
13.72,0.0493389
13.76,0.0510056
13.8,0.0493389
13.84,0.0493389
13.88,0.0493389
13.92,0.0476722
13.96,0.0460056
14,0.0460056
14.04,0.0476722
14.08,0.0493389
14.12,0.0493389
14.16,0.0526722
14.2,0.0543389
14.24,0.0560056
14.28,0.0576722
14.32,0.0576722
14.36,0.0593389
14.4,0.0593389
14.44,0.0576722
14.48,0.0543389
14.52,0.0543389
14.56,0.0543389
14.6,0.0560056
14.64,0.0560056
14.68,0.0560056
14.72,0.0560056
14.76,0.0560056
14.8,0.0576722
14.84,0.0576722
14.88,0.0576722
14.92,0.0576722
14.96,0.0610056
15,0.0610056
15.04,0.0660056
15.08,0.0693389
15.12,0.0726722
15.16,0.0776722
15.2,0.0793389
15.24,0.0776722
15.28,0.0760056
15.32,0.0793389
15.36,0.0810056
15.4,0.0826722
15.44,0.0843389
15.48,0.0860056
15.52,0.0876722
15.56,0.0893389
15.6,0.0910056
15.64,0.0943389
15.68,0.0976722
15.72,0.0976722
15.76,0.0976722
15.8,0.0976722
15.84,0.0976722
15.88,0.0993389
15.92,0.101006
15.96,0.101006
16,0.102672
16.04,0.101006
16.08,0.104339
16.12,0.106006
16.16,0.106006
16.2,0.107672
16.24,0.109339
16.28,0.109339
16.32,0.111006
16.36,0.111006
16.4,0.112672
16.44,0.112672
16.48,0.116006
16.52,0.117672
16.56,0.117672
16.6,0.119339
16.64,0.119339
16.68,0.119339
16.72,0.119339
16.76,0.119339
16.8,0.119339
16.84,0.119339
16.88,0.119339
16.92,0.119339
16.96,0.119339
17,0.119339
17.04,0.119339
17.08,0.121006
17.12,0.121006
17.16,0.121006
17.2,0.121006
17.24,0.122672
17.28,0.122672
17.32,0.124339
17.36,0.124339
17.4,0.124339
17.44,0.124339
17.48,0.124339
17.52,0.124339
17.56,0.124339
17.6,0.124339
17.64,0.124339
17.68,0.122672
17.72,0.122672
17.76,0.122672
17.8,0.122672
17.84,0.122672
17.88,0.122672
17.92,0.119339
17.96,0.116006
18,0.114339
18.04,0.112672
18.08,0.112672
18.12,0.112672
18.16,0.112672
18.2,0.112672
18.24,0.112672
18.28,0.111006
18.32,0.111006
18.36,0.111006
18.4,0.112672
18.44,0.112672
18.48,0.112672
18.52,0.112672
18.56,0.112672
18.6,0.117672
18.64,0.119339
18.68,0.122672
18.72,0.124339
18.76,0.124339
18.8,0.124339
18.84,0.126006
18.88,0.127672
18.92,0.126006
18.96,0.127672
19,0.127672
19.04,0.127672
19.08,0.127672
19.12,0.129339
19.16,0.131006
19.2,0.131006
19.24,0.134339
19.28,0.136006
19.32,0.137672
19.36,0.137672
19.4,0.137672
19.44,0.137672
19.48,0.137672
19.52,0.137672
19.56,0.137672
19.6,0.137672
19.64,0.137672
19.68,0.137672
19.72,0.137672
19.76,0.136006
19.8,0.136006
19.84,0.136006
19.88,0.136006
19.92,0.134339
19.96,0.134339
20,0.134339
20.04,0.134339
20.08,0.134339
20.12,0.132672
20.16,0.131006
20.2,0.131006
20.24,0.131006
20.28,0.131006
20.32,0.131006
20.36,0.131006
20.4,0.131006
20.44,0.131006
20.48,0.129339
20.52,0.129339
20.56,0.124339
20.6,0.122672
20.64,0.122672
20.68,0.121006
20.72,0.121006
20.76,0.121006
20.8,0.121006
20.84,0.121006
20.88,0.122672
20.92,0.122672
20.96,0.122672
21,0.122672
21.04,0.124339
21.08,0.124339
21.12,0.124339
21.16,0.119339
21.2,0.114339
21.24,0.109339
21.28,0.102672
21.32,0.0993389
21.36,0.0976722
21.4,0.0960056
21.44,0.0910056
21.48,0.0910056
21.52,0.0860056
21.56,0.0843389
21.6,0.0810056
21.64,0.0743389
21.68,0.0676722
21.72,0.0610056
21.76,0.0593389
21.8,0.0593389
21.84,0.0543389
21.88,0.0510056
21.92,0.0510056
21.96,0.0510056
22,0.0510056
22.04,0.0510056
22.08,0.0493389
22.12,0.0476722
22.16,0.0460056
22.2,0.0443389
22.24,0.0443389
22.28,0.0443389
22.32,0.0410056
22.36,0.0393389
22.4,0.0393389
22.44,0.0393389
22.48,0.0393389
22.52,0.0393389
22.56,0.0393389
22.6,0.0376722
22.64,0.0376722
22.68,0.0376722
22.72,0.0360056
22.76,0.0360056
22.8,0.0360056
22.84,0.0360056
22.88,0.0360056
22.92,0.0360056
22.96,0.0360056
23,0.0360056
23.04,0.0360056
23.08,0.0360056
23.12,0.0376722
23.16,0.0360056
23.2,0.0360056
23.24,0.0360056
23.28,0.0360056
23.32,0.0393389
23.36,0.0393389
23.4,0.0376722
23.44,0.0410056
23.48,0.0410056
23.52,0.0376722
23.56,0.0376722
23.6,0.0360056
23.64,0.0343389
23.68,0.0326722
23.72,0.0310056
23.76,0.0276722
23.8,0.0243389
23.84,0.0226722
23.88,0.0193389
23.92,0.0160056
23.96,0.0160056
24,0.0160056
24.04,0.0160056
24.08,0.0210056
24.12,0.0210056
24.16,0.0226722
24.2,0.0226722
24.24,0.0226722
24.28,0.0210056
24.32,0.0193389
24.36,0.0176722
24.4,0.0176722
24.44,0.0160056
24.48,0.0160056
24.52,0.0160056
24.56,0.0160056
24.6,0.0143389
24.64,0.0110056
24.68,0.00600556
24.72,0.00767222
24.76,0.00767222
24.8,0.00767222
24.84,0.00767222
24.88,0.00767222
24.92,0.00600556
24.96,0.00600556
25,0.00600556
25.04,0.00433889
25.08,0.00433889
25.12,0.00433889
25.16,0.00267222
25.2,0.00267222
25.24,0.00267222
25.28,0.00433889
25.32,0.00433889
25.36,0.00600556
25.4,0.00600556
25.44,0.00767222
25.48,0.00767222
25.52,0.00767222
25.56,0.00767222
25.6,0.00600556
25.64,0.00600556
25.68,0.00600556
25.72,0.00600556
25.76,0.00433889
25.8,0.00600556
25.84,0.00600556
25.88,0.00433889
25.92,0.00600556
25.96,0.00600556
26,0.00767222
26.04,0.00767222
26.08,0.00600556
26.12,0.00600556
26.16,0.00600556
26.2,0.00600556
26.24,0.00600556
26.28,0.00600556
26.32,0.00600556
26.36,0.00600556
26.4,0.00433889
26.44,0.00100556
26.48,-0.000661111
26.52,-0.00566111
26.56,-0.00732778
26.6,-0.00732778
26.64,-0.00732778
26.68,-0.00732778
26.72,-0.00732778
26.76,-0.00732778
26.8,-0.00899444
26.84,-0.00899444
26.88,-0.00566111
26.92,-0.00566111
26.96,-0.00732778
27,-0.00732778
27.04,-0.00899444
27.08,-0.00732778
27.12,-0.00399444
27.16,-0.000661111
27.2,0.00267222
27.24,0.00267222
27.28,0.00100556
27.32,-0.000661111
27.36,-0.00232778
27.4,-0.00399444
27.44,-0.00399444
27.48,-0.00399444
27.52,-0.00399444
27.56,-0.00566111
27.6,-0.00399444
27.64,-0.00399444
27.68,-0.00399444
27.72,-0.00399444
27.76,-0.00399444
27.8,-0.00399444
27.84,-0.00399444
27.88,-0.00232778
27.92,-0.00232778
27.96,-0.00566111
28,-0.00732778
28.04,-0.0106611
28.08,-0.0106611
28.12,-0.0106611
28.16,-0.0123278
28.2,-0.0106611
28.24,-0.00732778
28.28,-0.000661111
28.32,0.00267222
28.36,0.00433889
28.4,0.00600556
28.44,0.00600556
28.48,0.00767222
28.52,0.00767222
28.56,0.00767222
28.6,0.00600556
28.64,0.00600556
28.68,0.00600556
28.72,0.00600556
28.76,0.00600556
28.8,0.00600556
28.84,0.0110056
28.88,0.0160056
28.92,0.0193389
28.96,0.0210056
29,0.0210056
29.04,0.0210056
29.08,0.0210056
29.12,0.0210056
29.16,0.0193389
29.2,0.0193389
29.24,0.0193389
29.28,0.0210056
29.32,0.0210056
29.36,0.0210056
29.4,0.0226722
29.44,0.0226722
29.48,0.0243389
29.52,0.0243389
29.56,0.0243389
29.6,0.0310056
29.64,0.0326722
29.68,0.0326722
29.72,0.0310056
29.76,0.0326722
29.8,0.0310056
29.84,0.0293389
29.88,0.0260056
29.92,0.0260056
29.96,0.0260056
30,0.0243389
30.04,0.0210056
30.08,0.0210056
30.12,0.0210056
30.16,0.0176722
30.2,0.0176722
30.24,0.0160056
30.28,0.0160056
30.32,0.0176722
30.36,0.0160056
30.4,0.0143389
30.44,0.0143389
30.48,0.0126722
30.52,0.0126722
30.56,0.0126722
30.6,0.0110056
30.64,0.0110056
30.68,0.0126722
30.72,0.0126722
30.76,0.0126722
30.8,0.0126722
30.84,0.0126722
30.88,0.0126722
30.92,0.00933889
30.96,0.00933889
31,0.00767222
31.04,0.00767222
31.08,0.0160056
31.12,0.0260056
31.16,0.0326722
31.2,0.0393389
31.24,0.0426722
31.28,0.0460056
31.32,0.0510056
31.36,0.0526722
31.4,0.0510056
31.44,0.0443389
31.48,0.0476722
31.52,0.0543389
31.56,0.0593389
31.6,0.0626722
31.64,0.0693389
31.68,0.0710056
31.72,0.0726722
31.76,0.0743389
31.8,0.0743389
31.84,0.0743389
31.88,0.0760056
31.92,0.0743389
31.96,0.0743389
32,0.0710056
32.04,0.0710056
32.08,0.0693389
32.12,0.0676722
32.16,0.0626722
32.2,0.0610056
32.24,0.0593389
32.28,0.0543389
32.32,0.0493389
32.36,0.0510056
32.4,0.0510056
32.44,0.0510056
32.48,0.0510056
32.52,0.0510056
32.56,0.0510056
32.6,0.0493389
32.64,0.0510056
32.68,0.0510056
32.72,0.0493389
32.76,0.0476722
32.8,0.0460056
32.84,0.0443389
32.88,0.0443389
32.92,0.0443389
32.96,0.0443389
33,0.0443389
33.04,0.0443389
33.08,0.0443389
33.12,0.0443389
33.16,0.0460056
33.2,0.0443389
33.24,0.0443389
33.28,0.0426722
33.32,0.0426722
33.36,0.0426722
33.4,0.0426722
33.44,0.0443389
33.48,0.0460056
33.52,0.0460056
33.56,0.0476722
33.6,0.0476722
33.64,0.0460056
33.68,0.0460056
33.72,0.0460056
33.76,0.0476722
33.8,0.0476722
33.84,0.0460056
33.88,0.0443389
33.92,0.0443389
33.96,0.0443389
34,0.0443389
34.04,0.0443389
34.08,0.0426722
34.12,0.0426722
34.16,0.0426722
34.2,0.0443389
34.24,0.0443389
34.28,0.0426722
34.32,0.0443389
34.36,0.0443389
34.4,0.0426722
34.44,0.0426722
34.48,0.0410056
34.52,0.0393389
34.56,0.0343389
34.6,0.0326722
34.64,0.0310056
34.68,0.0326722
34.72,0.0360056
34.76,0.0360056
34.8,0.0343389
34.84,0.0326722
34.88,0.0293389
34.92,0.0276722
34.96,0.0276722
35,0.0243389
35.04,0.0226722
35.08,0.0193389
35.12,0.0160056
35.16,0.0143389
35.2,0.0126722
35.24,0.0126722
35.28,0.00933889
35.32,0.00933889
35.36,0.00933889
35.4,0.00767222
35.44,0.00600556
35.48,0.00600556
35.52,0.00600556
35.56,0.00433889
35.6,0.00433889
35.64,0.00433889
35.68,0.00100556
35.72,-0.00232778
35.76,-0.00399444
35.8,-0.00399444
